Model,MAE,RMSE,MAPE,R2
SARIMA,0.06319828034413147,0.10221078104508553,7476.768619016767,0.843217726263559
Prophet,0.067514186261331,0.10293299774269223,10685.053619565047,0.8409942657526832
LSTM,0.06681961127355147,0.0933323209776897,26205.549421857548,0.8716991782695498
GRU,0.07235063591313336,0.09536703288976008,18222.78123693468,0.8660440996542833
XGBoost,0.046708802240478894,0.08173923322547018,379.16484845378113,0.9015929019915314
